File Name; Single; Multi; Spark
0.csv; 117; 99; 1257
1.csv; 109; 128; 1385
10.csv; 110; 128; 1202
11.csv; 109; 102; 1298
12.csv; 109; 129; 1913
13.csv; 109; 129; 1486
14.csv; 108; 100; 1871
15.csv; 114; 100; 1894
16.csv; 109; 100; 1166
17.csv; 111; 99; 1453
18.csv; 110; 130; 1757
19.csv; 123; 106; 1993
2.csv; 119; 105; 1948
20.csv; 110; 104; 1417
21.csv; 123; 128; 1567
22.csv; 113; 111; 1558
23.csv; 123; 164; 1534
24.csv; 114; 104; 1989
25.csv; 116; 137; 1753
26.csv; 117; 108; 2195
27.csv; 114; 137; 1856
28.csv; 114; 105; 1257
29.csv; 113; 101; 2020
3.csv; 113; 137; 1303
30.csv; 115; 134; 1838
31.csv; 113; 101; 1298
32.csv; 128; 108; 1886
33.csv; 115; 109; 2193
34.csv; 120; 140; 1242
35.csv; 110; 102; 1834
36.csv; 115; 128; 1467
37.csv; 113; 103; 2002
38.csv; 109; 104; 1949
39.csv; 120; 104; 1867
4.csv; 109; 130; 1996
5.csv; 114; 102; 1916
6.csv; 109; 114; 1997
7.csv; 116; 105; 1236
8.csv; 110; 103; 2092
9.csv; 109; 128; 1984
