File Name; Single; Multi; Spark
0.csv; 176; 130; 141
1.csv; 129; 108; 97
10.csv; 128; 145; 206
11.csv; 130; 117; 207
12.csv; 115; 104; 203
13.csv; 117; 108; 194
14.csv; 117; 105; 212
15.csv; 116; 108; 203
16.csv; 117; 105; 200
17.csv; 117; 103; 197
18.csv; 115; 104; 198
19.csv; 118; 103; 199
2.csv; 114; 101; 132
20.csv; 114; 104; 191
21.csv; 115; 103; 194
22.csv; 116; 104; 190
23.csv; 104; 113; 176
24.csv; 116; 102; 201
25.csv; 120; 106; 208
26.csv; 117; 107; 195
27.csv; 119; 105; 217
28.csv; 109; 116; 213
29.csv; 122; 104; 201
3.csv; 117; 107; 144
30.csv; 109; 116; 173
31.csv; 115; 106; 196
32.csv; 118; 104; 197
33.csv; 114; 101; 195
34.csv; 117; 102; 207
35.csv; 120; 105; 180
36.csv; 114; 103; 202
37.csv; 118; 103; 204
38.csv; 107; 114; 248
39.csv; 108; 113; 193
4.csv; 118; 107; 158
5.csv; 116; 102; 155
6.csv; 116; 104; 179
7.csv; 118; 104; 179
8.csv; 123; 105; 183
9.csv; 122; 105; 188
