File Name; Single; Multi; Spark
0.csv; 121; 134; 97
1.csv; 115; 153; 155
10.csv; 114; 137; 470
11.csv; 113; 102; 374
12.csv; 111; 131; 366
13.csv; 111; 132; 332
14.csv; 140; 146; 369
15.csv; 109; 102; 390
16.csv; 121; 203; 425
17.csv; 115; 110; 444
18.csv; 137; 110; 854
19.csv; 181; 254; 763
2.csv; 137; 137; 156
20.csv; 134; 152; 568
21.csv; 140; 147; 616
22.csv; 125; 135; 642
23.csv; 127; 171; 624
24.csv; 146; 165; 702
25.csv; 136; 157; 782
26.csv; 127; 109; 856
27.csv; 144; 164; 944
28.csv; 120; 108; 886
29.csv; 138; 165; 947
3.csv; 127; 118; 188
30.csv; 127; 140; 934
31.csv; 119; 123; 867
32.csv; 233; 165; 951
33.csv; 124; 116; 955
34.csv; 167; 184; 861
35.csv; 128; 117; 868
36.csv; 152; 154; 936
37.csv; 129; 113; 871
38.csv; 127; 114; 844
39.csv; 126; 150; 843
4.csv; 123; 117; 275
5.csv; 121; 111; 289
6.csv; 165; 153; 368
7.csv; 128; 157; 310
8.csv; 146; 155; 524
9.csv; 130; 112; 577
