File_Name;groupsize_fraction;Single_Sort;Multi_Sort;Spark_Sort;Single_NL;Multi_NL;Spark_NL;Single_Hash;Multi_Hash;Spark_Hash
1.csv;0.03;127;28;93;46;26;53;129;108;97
2.csv;0.05;119;37;109;34;25;41;114;101;132
3.csv;0.08;96;49;117;33;25;37;117;107;144
4.csv;0.1;82;51;118;39;29;42;118;107;158
5.csv;0.13;82;56;108;40;30;44;116;102;155
6.csv;0.15;86;63;119;41;32;44;116;104;179
7.csv;0.18;80;72;123;43;33;46;118;104;179
8.csv;0.21;81;73;129;44;35;48;123;105;183
9.csv;0.23;81;87;123;42;36;49;122;105;188
10.csv;0.26;127;94;128;58;45;64;128;145;206
11.csv;0.28;148;87;142;58;46;64;130;117;207
12.csv;0.31;121;99;181;62;49;67;115;104;203
13.csv;0.33;115;87;184;62;45;65;117;108;194
14.csv;0.36;109;100;161;67;48;68;117;105;212
15.csv;0.38;108;107;159;68;57;69;116;108;203
16.csv;0.41;107;113;141;51;41;51;117;105;200
17.csv;0.44;107;108;140;52;41;52;117;103;197
18.csv;0.46;114;118;152;54;43;55;115;104;198
19.csv;0.49;119;106;137;52;46;55;118;103;199
20.csv;0.51;120;127;137;62;55;59;114;104;191
21.csv;0.54;113;105;126;54;51;56;115;103;194
22.csv;0.56;107;123;144;52;50;57;116;104;190
23.csv;0.59;104;134;142;68;58;77;104;113;176
24.csv;0.62;107;121;133;65;56;75;116;102;201
25.csv;0.64;105;134;130;73;70;82;120;106;208
26.csv;0.67;103;125;138;63;54;76;117;107;195
27.csv;0.69;105;133;137;62;54;74;119;105;217
28.csv;0.72;106;114;136;61;50;69;109;116;213
29.csv;0.74;104;121;138;60;54;58;122;104;201
30.csv;0.77;81;150;146;54;50;54;109;116;173
31.csv;0.79;80;142;135;55;49;54;115;106;196
32.csv;0.82;82;121;143;56;49;53;118;104;197
33.csv;0.85;84;151;145;56;49;52;114;101;195
34.csv;0.87;82;146;136;56;49;53;117;102;207
35.csv;0.9;81;135;135;56;49;51;120;105;180
36.csv;0.92;86;141;132;62;53;56;114;103;202
37.csv;0.95;84;137;147;56;49;51;118;103;204
38.csv;0.97;81;130;145;58;50;53;107;114;248
39.csv;1;82;112;151;58;49;51;108;113;193
