File_Name;groupsize_fraction;Single_Sort;Multi_Sort;Spark_Sort
1.csv;0.03;1270;280;930
2.csv;0.05;1190;370;1090
3.csv;0.08;960;490;1170
4.csv;0.1;820;510;1180
5.csv;0.13;820;560;1080
6.csv;0.15;860;630;1190
7.csv;0.18;800;720;1230
8.csv;0.21;810;730;1290
9.csv;0.23;810;870;1230
10.csv;0.26;1270;940;1280
11.csv;0.28;1480;870;1420
12.csv;0.31;1210;990;1810
13.csv;0.33;1150;870;1840
14.csv;0.36;1090;1000;1610
15.csv;0.38;1080;1070;1590
16.csv;0.41;1070;1130;1410
17.csv;0.44;1070;1080;1400
18.csv;0.46;1140;1180;1520
19.csv;0.49;1190;1060;1370
20.csv;0.51;1200;1270;1370
21.csv;0.54;1130;1050;1260
22.csv;0.56;1070;1230;1440
23.csv;0.59;1040;1340;1420
24.csv;0.62;1070;1210;1330
25.csv;0.64;1050;1340;1300
26.csv;0.67;1030;1250;1380
27.csv;0.69;1050;1330;1370
28.csv;0.72;1060;1140;1360
29.csv;0.74;1040;1210;1380
30.csv;0.77;810;1500;1460
31.csv;0.79;800;1420;1350
32.csv;0.82;820;1210;1430
33.csv;0.85;840;1510;1450
34.csv;0.87;820;1460;1360
35.csv;0.9;810;1350;1350
36.csv;0.92;860;1410;1320
37.csv;0.95;840;1370;1470
38.csv;0.97;810;1300;1450
39.csv;1;820;1120;1510
