File_Name;Single;Multi;Spark
0.csv;0.0;0.0;6.1
1.csv;3.6;3.4;9.7
2.csv;5.8;2.1;2.6
3.csv;9.3;3.2;2.5
4.csv;12.9;4.1;3.7
5.csv;19.2;5.2;3.7
6.csv;22.7;6.8;3.7
7.csv;27.2;7.6;3.2
8.csv;32.8;8.9;3.3
9.csv;39.1;10.8;3.2
10.csv;44.0;15.5;7.3
11.csv;48.0;16.5;7.5
12.csv;53.4;19.3;6.9
13.csv;57.6;19.0;6.4
14.csv;61.9;21.8;4.2
15.csv;70.2;23.3;3.5
16.csv;74.6;24.8;3.1
17.csv;81.9;28.5;3.1
18.csv;85.3;25.3;2.9
19.csv;88.1;27.8;2.8
20.csv;93.1;24.9;3.7
21.csv;102.5;29.0;2.9
22.csv;111.2;30.0;3.4
23.csv;113.2;30.9;2.7
24.csv;114.1;32.1;3.3
25.csv;121.5;35.6;3.0
26.csv;124.6;32.9;2.6
27.csv;130.2;35.4;2.2
28.csv;139.8;44.7;2.9
29.csv;135.6;44.3;2.2
30.csv;149.9;47.2;2.5
31.csv;149.0;38.8;2.7
32.csv;155.4;51.7;2.2
33.csv;161.7;47.5;3.5
34.csv;163.9;48.8;4.2
35.csv;172.7;52.6;4.0
36.csv;174.7;57.1;4.2
37.csv;182.2;61.5;4.0
38.csv;102.1;35.0;4.5
39.csv;195.0;63.1;3.2
40.csv;197.3;63.5;2.7
