File_Name;File_size;Single_Sort;Multi_Sort;Spark_Sort
0.csv;100;0;0;110
1.csv;25097;40;30;80
2.csv;50094;60;20;110
3.csv;75091;90;30;160
4.csv;100088;130;40;270
5.csv;125085;190;50;310
6.csv;150082;230;70;330
7.csv;175079;270;80;360
8.csv;200076;330;90;410
9.csv;225073;390;110;430
10.csv;250070;440;160;550
11.csv;275067;480;170;620
12.csv;300064;530;190;750
13.csv;325061;580;190;760
14.csv;350058;620;220;790
15.csv;375055;700;230;870
16.csv;400052;750;250;990
17.csv;425049;820;290;980
18.csv;450046;850;250;1020
19.csv;475043;880;280;1100
20.csv;500040;930;250;1040
21.csv;525037;1030;290;1200
22.csv;550034;1110;300;1200
23.csv;575031;1130;310;1270
24.csv;600028;1140;320;1420
25.csv;625025;1220;360;1520
26.csv;650022;1250;330;1560
27.csv;675019;1300;350;1760
28.csv;700016;1400;450;2020
29.csv;725013;1360;440;1850
30.csv;750010;1500;470;1810
31.csv;775007;1490;390;1830
32.csv;800004;1550;520;1990
33.csv;825001;1620;480;1970
34.csv;849998;1640;490;2040
35.csv;874995;1730;530;2090
36.csv;899992;1750;570;2220
37.csv;924989;1820;620;2200
38.csv;949986;1020;350;1400
39.csv;974983;1950;630;2520
40.csv;999980;1965;636;2530
