Nom;Nombre
ALBERT ;4
PERRIN ;65
LECOCQ ;5
BASTIDE ;28
LAGRANGE ;82
PEREIRA ;75
GEORGES ;1
GIRAUD ;69
GUIRAUD ;29
HEMERY ;4
BAUER ;76
CARPENTIER ;83
LAHAYE ;75
CHAUVET ;48
VACHER ;51
THIBAULT ;61
RUIZ ;84
BELLEC ;48
MOUTON ;18
VERON ;10
ROUAULT ;23
RODRIGUES ;20
BESNARD ;65
COHEN ;94
BAILLY ;66
DIJOUX ;13
DUBOS ;72
CADET ;86
TAVERNIER ;17
BARTHE ;92
COMBES ;11
POUGET ;48
HERNANDEZ ;61
MICHAUX ;17
COUDERT ;35
PICHARD ;64
BUREAU ;9
TISSIER ;32
HARDY ;96
BRUN ;17
HEBERT ;4
KOCH ;41
MOREL ;33
BUREAU ;23
BOIS ;41
RENOU ;56
ANDRIEU ;66
SEGUIN ;4
GUERY ;16
PELLETIER ;39
RAMBAUD ;12
GAUTHIER ;30
VIGOUROUX ;97
FOULON ;19
BERTHE ;68
GUIRAUD ;95
SOULIER ;94
POLLET ;1
BRISSET ;74
BOUTET ;78
VIARD ;30
DUCHESNE ;7
CORNU ;55
JAMET ;82
COHEN ;11
GROS ;12
ALBERT ;50
REY ;67
LANG ;88
BOSSARD ;6
COLAS ;96
KELLER ;85
AMIOT ;19
CUNY ;63
RICHARD ;56
ESNAULT ;84
BOURDON ;41
VIAL ;62
JAOUEN ;30
MORAND ;2
JANIN ;58
GOSSELIN ;93
JACQUIN ;17
DUCLOS ;95
MENAGER ;89
GUILLET ;31
BAZIN ;55
RIGAUD ;21
BOSSARD ;77
CHAUVIN ;82
CORDIER ;77
DELAMARE ;0
GERMAIN ;45
LAURENT ;8
MARTINET ;29
JOSEPH ;7
BACHELET ;39
JACOB ;74
BROUSSE ;14
MEUNIER ;6
BATAILLE ;86
RIOU ;5
LEFRANCOIS ;30
GAY ;5
FEVRIER ;34
LEGENDRE ;68
FAYOLLE ;96
CAILLAUD ;35
CLEMENT ;46
RODRIGUEZ ;86
BOUILLON ;60
HAMELIN ;5
GOUJON ;66
BOULARD ;99
DUCLOS ;11
HARDY ;69
TANGUY ;64
PARISOT ;7
MILLE ;80
CHARTIER ;85
GERMAIN ;3
GAUTIER ;76
