File Name; Single; Multi; Spark
0.csv;32;20;41
1.csv;46;26;53
2.csv;34;25;41
3.csv;33;25;37
4.csv;39;29;42
5.csv;40;30;44
6.csv;41;32;44
7.csv;43;33;46
8.csv;44;35;48
9.csv;42;36;49
10.csv;58;45;64
11.csv;58;46;64
12.csv;62;49;67
13.csv;62;45;65
14.csv;67;48;68
15.csv;68;57;69
16.csv;51;41;51
17.csv;52;41;52
18.csv;54;43;55
19.csv;52;46;55
20.csv;62;55;59
21.csv;54;51;56
22.csv;52;50;57
23.csv;68;58;77
24.csv;65;56;75
25.csv;73;70;82
26.csv;63;54;76
27.csv;62;54;74
28.csv;61;50;69
29.csv;60;54;58
30.csv;54;50;54
31.csv;55;49;54
32.csv;56;49;53
33.csv;56;49;52
34.csv;56;49;53
35.csv;56;49;51
36.csv;62;53;56
37.csv;56;49;51
38.csv;58;50;53
39.csv;58;49;51
