File Name; Single; Multi; Spark
0.csv;1;2;27
1.csv;7;8;28
2.csv;4;4;15
3.csv;6;4;17
4.csv;4;4;19
5.csv;10;7;19
6.csv;11;11;22
7.csv;17;10;21
8.csv;14;10;23
9.csv;16;11;26
10.csv;28;16;43
11.csv;21;15;36
12.csv;28;19;45
13.csv;25;20;34
14.csv;24;17;32
15.csv;29;13;46
16.csv;33;17;39
17.csv;25;17;26
18.csv;30;13;51
19.csv;40;19;46
20.csv;32;20;43
21.csv;43;23;42
22.csv;36;21;40
23.csv;33;21;49
24.csv;45;26;46
25.csv;35;21;34
26.csv;39;29;36
27.csv;37;28;58
28.csv;44;24;59
29.csv;47;29;54
30.csv;50;27;65
31.csv;53;30;50
32.csv;44;27;37
33.csv;42;28;54
34.csv;43;26;70
35.csv;62;40;64
36.csv;54;31;46
37.csv;58;38;56
38.csv;50;31;82
39.csv;63;38;61
40.csv;75;40;73
